ATS,Building_C,Location_C,Name,Geographic,Latitude,Longitude,latitude,longitude
75X168,X020,X168,P.S. 168,10,40.869482,-73.878731,4993109.307800002,-8224142.715399999
75X176,X455,X176,P.S. X176,11,40.874035,-73.831669,4993779.571800001,-8218903.797499999
75X186,X136,X186,P186X Walter J. Damrosch School,12,40.831388,-73.897797,4987503.153499998,-8226265.1328
75X188,X034,X188,P.S. X188,10,40.850168,-73.883877,4990266.534400001,-8224715.5655000005
75X352,X006,X352,The Vida Bogart School for All Children,12,40.840445,-73.882531,4988835.747000001,-8224565.7294
75X402,X953,XHOS,Hospital Schools - Bronx,8,40.831829,-73.827642,4987568.035400003,-8218455.513900001
75X469,X410,X469,The Bronx School for Continuous Learners,9,40.839307,-73.911366,4988668.2984,-8227775.627
75X502,X953,X999,Home Instruction - Bronx,8,40.831829,-73.827642,4987568.035400003,-8218455.513900001
75X596,X178,X596,P.S. X596,11,40.874035,-73.831669,4993779.571800001,-8218903.797499999
75X643,X487,X643,P.S. X643,7,40.816974,-73.912039,4985382.737999998,-8227850.545
75X721,X722,X721,P.S. X721 - Stephen McSweeney School,11,40.842725,-73.839114,4989171.241400003,-8219732.5711
75X723,X701,X723,P.S. 723,11,40.88298,-73.831856,4995096.532700002,-8218924.6142
75X754,X155,X754,J. M. Rapport School Career Development,7,40.811051,-73.909363,4984511.5506,-8227552.653999999
75X811,X084,X811,P.S. X811,12,40.830552,-73.886798,4987380.1586000025,-8225040.729699999
79K755,Q733,K755,Adult and Continuing Education,28,40.70283,-73.807991,4968607.4777000025,-8216267.9746
79K925,K515,K925,YABC Programs - Brooklyn and Queens,18,40.634451,-73.916927,4958571.873800002,-8228394.6746
79M331,M646,M331,The Judith S. Kaye School - D79,4,40.784112,-73.945647,4980550.195,-8231591.770400001
79M379,X600,M379,"YABC Programs – Manhattan, Bronx, Staten Island",7,40.818645,-73.919949,4985628.531999998,-8228731.0821
79M645,M646,M645,School for Cooperative Technical Education,4,40.784112,-73.945647,4980550.195,-8231591.770400001
79M921,M048,M921,District 79 Youth Justice and Treatment Programs T,6,40.853193,-73.933629,4990711.720899999,-8230253.9328000005
79M973,M834,M973,Restart Academy,2,40.767848,-73.98861,4978159.366400003,-8236374.389699999
79M984,M827,M984,LYFE,2,40.753038,-73.992405,4975982.786600001,-8236796.847200001
79Q344,Q535,Q344,East River Academy,7,40.7888,-73.8839,4981239.445699997,-8224718.1258000005
79Q950,Q733,Q950,Pathways to Graduation,28,40.70283,-73.807991,4968607.4777000025,-8216267.9746
79X695,X991,X695,Passages Academy,7,40.814614,-73.913386,4985035.606899999,-8228000.4923
84K037,K071,K037,Beginning with Children Charter School II,14,40.703996,-73.953304,4968778.694300003,-8232444.1438
84K125,K059,K125,Success Academy Charter School - Bed Stuy 2,14,40.697619,-73.943279,4967842.325999998,-8231328.165899999
84K129,K293,K129,Success Academy Charter School - Cobble Hill,15,40.685006,-73.993293,4965990.556999996,-8236895.698899999
84K182,K050,K182,Success Academy Charter School - Williamsburg,14,40.711915,-73.960137,4969941.6074,-8233204.789799999
84K333,K022,K333,Explore Exceed Charter School,17,40.6771,-73.960093,4964830.021600001,-8233199.891799999
84K355,K016,K355,Williamsburg Collegiate Charter School,14,40.706069,-73.962049,4969083.103100002,-8233417.6327
84K356,K391,K356,Achievement First Crown Heights Charter School,17,40.662092,-73.936313,4962627.3500000015,-8230552.714299999
84K357,K390,K357,KIPP Always Mentally Prepared Charter School,17,40.67229,-73.937601,4964124.020800002,-8230696.093800001
84K358,K013,K358,Achievement First East New York Charter School,19,40.664067,-73.893328,4962917.185500003,-8225767.646
84K360,K243,K360,Launch Expeditionary Learning Charter School,16,40.675675,-73.935093,4964620.858099997,-8230416.9045
84K362,KAWR,K362,Hellenic Classical Charter School,15,40.662985,-73.992254,4962758.398599997,-8236780.037900001
84K367,K033,K367,Success Academy Charter School - Bed Stuy 1,14,40.696698,-73.947557,4967707.098099999,-8231804.3906
84K379,K114,K379,Explore Excel Charter School,18,40.642684,-73.90788,4959779.640600003,-8227387.5671999995
84K395,K907,K395,New Visions AIM Charter High School I,17,40.666251,-73.923881,4963237.702200003,-8229168.7904
84K406,K262,K406,"EMBER Charter School for Mindful Education, Innova",16,40.682949,-73.930132,4965688.593099996,-8229864.648499999
84K417,KASZ,K417,Urban Dove Team Charter School,22,40.622425,-73.955004,4956807.948200002,-8232633.3869
84K473,KBYQ,K473,Williamsburg Charter High School,14,40.703703,-73.935969,4968735.6696000025,-8230514.420399999
84K486,KBBA,K486,New Dawn Charter High School,15,40.68291,-73.990292,4965682.868100002,-8236561.6291000005
84K508,K784,K508,Achievement First Endeavor Charter School,13,40.682422,-73.965928,4965611.232000001,-8233849.441
84K517,K258,K517,Leadership Preparatory Bedford Stuyvesant Charter,13,40.68192,-73.9456,4965537.541299999,-8231586.5384
84K536,K067,K536,Community Roots Charter School,13,40.695339,-73.977674,4967507.5634,-8235156.9998
84K538,K383,K538,Achievement First Bushwick Charter School,32,40.697898,-73.919088,4967883.291100003,-8228635.236099999
84K593,K783,K593,Excellence Boys Charter School of Bedford Stuyvesa,16,40.683446,-73.925851,4965761.550999999,-8229388.0898
